Symbol,Name,Last,Change,%Chg,"IV Rank","Options Vol","% Put","% Call","P/C Vol",Time
SEDG,"Solaredge Tech",120.75,-1.81,-1.48%,67.11%,12466,48.1%,51.9%,0.92644104466079,"09:08 ET"
STNG,"Scorpio Tankers Inc",51.7,0.27,+0.52%,24.74%,12440,17.3%,82.7%,0.20941084969862,"08:31 ET"
TWLO,Twilio,56.99,-0.85,-1.47%,21.56%,12362,35.6%,64.4%,0.55262496860085,"09:08 ET"
NET,"Cloudflare Inc Cl A",61.29,-1.22,-1.95%,33.70%,12188,59.9%,40.1%,1.4960065533484,"09:07 ET"
DOCU,"Docusign Inc",41.22,-0.51,-1.22%,7.68%,12182,34.2%,65.8%,0.52008984277514,"09:04 ET"
BIDU,"Baidu Inc ADR",130.52,-2.53,-1.90%,6.09%,12007,37.8%,62.2%,0.60800857104594,"09:09 ET"
ENVX,"Enovix Corp",10.1,-1.71,-14.48%,57.11%,11961,42.0%,58.0%,0.72299049265341,"09:09 ET"
JBLU,"Jetblue Airways Cp",4.63,-0.01,-0.22%,61.48%,11831,18.9%,81.1%,0.23316656243486,"09:08 ET"
ALLY,"Ally Financial",25.5,-0.16,-0.62%,22.87%,11795,49.7%,50.3%,0.98669361630453,"09:09 ET"
EOSE,"Eos Energy Enterprises Inc",2.17,-0.05,-2.25%,10.12%,11585,10.9%,89.1%,0.1221425803952,"09:06 ET"
LOW,"Lowe's Companies",204.12,-1.62,-0.79%,24.35%,11579,77.0%,23.0%,3.3399550224888,"09:04 ET"
NCLH,"Norwegian Cruise Ord",16.3,-0.14,-0.85%,17.58%,11568,41.3%,58.7%,0.70343101163304,"09:08 ET"
KR,"Kroger Company",43.8,-0.23,-0.52%,19.98%,11538,35.0%,65.0%,0.5390156062425,"09:08 ET"
PG,"Procter & Gamble Company",145.18,-0.01,-0.01%,44.65%,11428,41.4%,58.6%,0.70720047804004,"09:08 ET"
VLO,"Valero Energy Corp",134.85,-3.24,-2.35%,26.53%,11395,46.9%,53.1%,0.88378244337907,"09:09 ET"
GIS,"General Mills",62.39,-0.19,-0.30%,63.20%,11312,39.1%,60.9%,0.64156145697286,"09:08 ET"
FSLR,"First Solar Inc",155,-1.34,-0.86%,44.22%,11302,58.1%,41.9%,1.3858982478362,"09:09 ET"
UUUU,"Energy Fuels Inc",7.51,-0.16,-2.09%,52.03%,10743,37.1%,62.9%,0.5906129700918,"09:08 ET"
DE,"Deere & Company",372.06,-1.78,-0.48%,33.02%,10529,52.5%,47.5%,1.1062212442488,"09:08 ET"
GILD,"Gilead Sciences Inc",74.1,0,0.00%,65.46%,10316,24.4%,75.6%,0.32205561963347,"08:51 ET"
BTU,"Peabody Energy Corp",25.23,-0.13,-0.51%,41.20%,10293,35.7%,64.3%,0.55483383685801,"08:41 ET"
HUT,"Hut 8 Mining Corp",1.97,-0.03,-1.50%,16.78%,10281,27.3%,72.7%,0.375016717935,"09:06 ET"
LVS,"Las Vegas Sands",45.02,-0.68,-1.49%,26.22%,10056,52.3%,47.7%,1.0980596703526,"09:05 ET"
KHC,"Kraft Heinz Company",32.99,-0.1,-0.30%,43.77%,10056,39.2%,60.8%,0.64394310936734,"09:08 ET"
BE,"Bloom Energy Corp Cl A",12,-0.19,-1.56%,33.10%,9962,80.6%,19.4%,4.1456611570248,"09:09 ET"
W,"Wayfair Inc",61.5,-1,-1.60%,35.80%,9952,43.8%,56.2%,0.77841315225161,"09:08 ET"
CART,"Maplebear Inc [Instacart]",27.2,0.24,+0.89%,40.23%,9885,53.4%,46.6%,1.1461137646548,"09:09 ET"
TEVA,"Teva Pharmaceutical Industries ADR",9.96,-0.05,-0.50%,3.89%,9880,21.0%,79.0%,0.26634196359908,"08:48 ET"
FNGR,"Fingermotion Inc",7.17,0.17,+2.43%,45.79%,9778,10.8%,89.2%,0.12158752007341,"09:09 ET"
DISH,"Dish Network Corp",5.53,-0.06,-1.07%,21.83%,9729,23.6%,76.4%,0.30906889128095,"09:04 ET"
LI,"Li Auto Inc ADR",34.14,-1.05,-2.98%,8.50%,9712,52.7%,47.3%,1.1140618197649,"09:09 ET"
RCL,"Royal Caribbean Cruises Ltd",91,-0.7,-0.76%,23.48%,9697,63.4%,36.6%,1.7315492957746,"09:02 ET"
KGC,"Kinross Gold Corp",4.37,0.01,+0.23%,7.63%,9680,53.3%,46.7%,1.141592920354,"09:08 ET"
QS,"Quantumscape Corp",6.38,-0.1,-1.54%,32.31%,9548,34.1%,65.9%,0.51820639211321,"09:06 ET"
IONQ,"Ionq Inc",14.56,-0.25,-1.69%,19.83%,9485,53.8%,46.2%,1.1655251141553,"09:09 ET"
DLR,"Digital Realty Trust",117.5,-0.72,-0.61%,53.39%,9462,80.6%,19.4%,4.1676679410158,"08:51 ET"
DWAC,"Digital World Acquisition Corp Cl A",15.31,-0.12,-0.78%,39.63%,9457,57.8%,42.2%,1.3683946907087,"09:07 ET"
BX,"Blackstone Inc",105.91,-1.25,-1.17%,28.29%,9404,57.3%,42.7%,1.3393034825871,"09:08 ET"
HE,"Hawaiian Electric Industries",11.84,-0.11,-0.91%,31.79%,9335,34.2%,65.8%,0.52035830618893,"09:09 ET"
KMX,"Carmax Inc",69.74,-0.99,-1.40%,6.08%,9315,75.6%,24.4%,3.0963060686016,2023-10-02
IMVT,"Immunovant Inc",34.8,0.16,+0.46%,13.21%,9153,78.8%,21.2%,3.7253484770263,"08:59 ET"
TXN,"Texas Instruments",159.37,-0.58,-0.36%,43.34%,9124,60.2%,39.8%,1.5141912372554,"08:51 ET"
OKTA,"Okta Inc Cl A",79.99,-0.73,-0.90%,12.35%,8885,46.3%,53.7%,0.86385567442836,"09:04 ET"
TUP,"Tupperware Corp",1.35,-0.05,-3.57%,50.31%,8842,3.8%,96.2%,0.039135033493948,"09:08 ET"
ASML,"Asml Holdings NY Reg ADR",573.9,-8.28,-1.42%,30.93%,8821,53.1%,46.9%,1.1327369439072,"09:09 ET"
LMT,"Lockheed Martin Corp",408.25,0.43,+0.11%,36.87%,8811,72.5%,27.5%,2.6409090909091,"09:04 ET"
MDLZ,"Mondelez Intl Inc",68.41,-0.08,-0.12%,45.96%,8755,83.8%,16.2%,5.1741889985896,"08:51 ET"
ASAN,"Asana Inc Cl A",18.21,-0.13,-0.71%,11.85%,8716,16.9%,83.1%,0.20287054926856,"09:05 ET"
VTRS,"Viatris Inc",10.07,0.02,+0.20%,18.78%,8687,31.8%,68.2%,0.46566559811034,"09:07 ET"
FANG,"Diamondback Energy",150.48,0.28,+0.19%,20.24%,8678,51.8%,48.2%,1.0731008122312,"09:08 ET"
TFC,"Truist Financial Corp",27.45,-0.18,-0.65%,23.01%,8678,44.3%,55.7%,0.79631546263714,"09:09 ET"
ASO,"Academy Sports and Outdoors Inc",45.71,-1.56,-3.31%,18.25%,8482,17.0%,83.0%,0.20534318601677,2023-10-02
CRSP,"Crispr Therapeutics Ag",42.08,-0.33,-0.78%,74.70%,8395,68.8%,31.2%,2.2078716087123,"09:09 ET"
WE,"Wework Inc",2.68,-0.27,-9.15%,50.45%,8255,91.5%,8.5%,10.74253200569,"09:09 ET"
LRCX,"Lam Research Corp",625.17,-5.71,-0.91%,33.38%,8206,48.3%,51.7%,0.93400895592741,"09:05 ET"
AEM,"Agnico-Eagle Mines Ltd",43.66,-0.13,-0.30%,30.94%,8188,12.7%,87.3%,0.14501468326108,"09:06 ET"
O,"Realty Income Corp",48.85,-0.14,-0.29%,56.68%,8180,35.6%,64.4%,0.55336118496012,"09:09 ET"
COMM,"Commscope Holding Company",3.44,0,0.00%,58.18%,8163,2.5%,97.5%,0.025244913338357,"08:44 ET"
LAC,"Lithium Americas Corp",15.9,-0.13,-0.81%,32.47%,8124,23.0%,77.0%,0.29921637613945,"09:09 ET"
MGM,"MGM Resorts International",36.5,-0.29,-0.79%,30.45%,8057,54.3%,45.7%,1.189402173913,"08:57 ET"
D,"Dominion Energy Inc",41.7,-0.61,-1.44%,89.45%,8012,37.0%,63.0%,0.58622055038606,"09:09 ET"
TTD,"Trade Desk Inc",77.75,-0.56,-0.72%,13.51%,7969,44.5%,55.5%,0.80253336349242,"09:07 ET"
COF,"Capital One Financial Corp",95.12,-1.93,-1.99%,41.31%,7871,58.0%,42.0%,1.3801028122165,2023-10-02
MDT,"Medtronic Inc",77.45,-0.32,-0.41%,28.31%,7730,47.6%,52.4%,0.90958498023715,"09:08 ET"
SLG,"SL Green Realty Corp",35.6,-0.44,-1.22%,38.68%,7727,93.0%,7.0%,13.309259259259,"09:03 ET"
TMUS,"T-Mobile US",139.26,-0.79,-0.56%,42.46%,7670,45.8%,54.2%,0.84552454282964,2023-10-02
AKRO,"Akero Therapeutics Inc",45.78,-4.81,-9.50%,100.00%,7655,43.7%,56.3%,0.77486668212381,2023-10-02
PATH,"Uipath Inc Cl A",16.91,-0.33,-1.91%,9.14%,7655,16.3%,83.7%,0.1947869517715,"09:09 ET"
UNFI,"United Nat Foods",13.17,-0.97,-6.86%,37.39%,7647,96.3%,3.7%,26.117021276596,2023-10-02
OPEN,"Opendoor Technologies Inc",2.59,-0.07,-2.63%,7.76%,7626,28.9%,71.1%,0.40571428571429,"09:09 ET"
STZ,"Constellation Brands Inc",248.64,0,0.00%,61.01%,7585,47.3%,52.7%,0.89767325494121,"08:51 ET"
GPS,"Gap Inc",10.56,-0.21,-1.95%,19.46%,7568,33.0%,67.0%,0.49240780911063,"09:05 ET"
CLX,"Clorox Company",130.34,-0.72,-0.55%,70.59%,7522,26.4%,73.6%,0.35874277456647,2023-10-02
NVTA,"Invitae Corp",0.6503,-0.0392,-5.69%,50.50%,7473,2.3%,97.7%,0.023558416655253,"09:09 ET"
EOG,"Eog Resources",123.59,-0.07,-0.06%,59.28%,7454,77.1%,22.9%,3.3718475073314,"09:06 ET"
HSY,"Hershey Foods Corp",199.01,-1.07,-0.53%,70.68%,7347,64.1%,35.9%,1.7871775417299,2023-10-02
HPQ,"Hp Inc",26.3,0.63,+2.45%,30.46%,7225,24.2%,75.8%,0.31963470319635,"09:08 ET"
CVE,"Cenovus Energy Inc",19.92,-0.18,-0.90%,24.15%,7203,14.9%,85.1%,0.17446600358715,"09:08 ET"
ZION,"Zions Bancorp",33.25,-0.24,-0.72%,16.36%,7199,75.4%,24.6%,3.0672316384181,"09:09 ET"
SO,"Southern Company",62,-0.71,-1.13%,53.18%,7184,58.3%,41.7%,1.3962641761174,"09:09 ET"
CLSK,"Cleanspark Inc",3.85,-0.01,-0.26%,23.17%,7088,6.6%,93.4%,0.070533152091829,"09:09 ET"
SRCL,"Stericycle Inc",43.56,-1.15,-2.57%,48.96%,7079,99.9%,0.1%,1414.8,2023-10-02
MA,"Mastercard Inc",395.5,-0.35,-0.09%,28.14%,7035,49.7%,50.3%,0.98728813559322,"09:08 ET"
MET,"Metlife Inc",61.36,-0.33,-0.53%,31.63%,7001,52.7%,47.3%,1.1125528062764,"08:51 ET"
STWD,"Starwood Property Trust",18.74,-0.14,-0.74%,24.64%,6818,31.6%,68.4%,0.46214883122453,"09:09 ET"
HL,"Hecla Mining Company",3.66,0.04,+1.07%,17.04%,6768,11.6%,88.4%,0.13177257525084,"09:09 ET"
AR,"Antero Resources Corp",24.37,0.18,+0.74%,31.21%,6740,17.9%,82.1%,0.21858615078648,"08:51 ET"
AZN,"Astrazeneca Plc ADR",66.9,0.17,+0.25%,37.94%,6683,18.0%,82.0%,0.22019353660763,"09:07 ET"
SU,"Suncor Energy Inc",33.21,-0.29,-0.87%,23.00%,6663,46.9%,53.1%,0.88273523594236,"09:09 ET"
TOST,"Toast Inc Cl A",18,-0.32,-1.75%,29.28%,6647,26.1%,73.9%,0.35266585266585,"09:09 ET"
FUTU,"Futu Holdings Ltd ADR",55.98,-1.13,-1.98%,10.95%,6564,67.9%,32.1%,2.1168091168091,"09:09 ET"
APP,"Applovin Corp Cl A",40.11,-0.71,-1.74%,35.84%,6519,87.9%,12.1%,7.293893129771,"09:09 ET"
SABR,"Sabre Corp",4.06,-0.03,-0.73%,57.85%,6504,35.3%,64.7%,0.54562737642586,"09:08 ET"
EQT,"Eqt Corp",38.87,-0.22,-0.56%,34.22%,6445,30.8%,69.2%,0.44571556751907,"08:51 ET"
DHT,"Dht Holdings",9.91,0.13,+1.33%,6.91%,6440,93.8%,6.2%,15.221662468514,"09:07 ET"
SPR,"Spirit Aerosystems Holdings",16.83,-0.01,-0.06%,82.88%,6430,15.2%,84.8%,0.17938371239912,"09:09 ET"
ON,"On Semiconductor",92.53,-0.84,-0.90%,33.78%,6422,60.5%,39.5%,1.532334384858,"09:09 ET"
SPLK,"Splunk Inc",146.09,-0.11,-0.08%,2.03%,6413,35.1%,64.9%,0.54084574723691,"09:03 ET"
CPE,"Callon Petroleum Company",36.51,-0.32,-0.87%,31.64%,6394,22.0%,78.0%,0.28264794383149,"09:08 ET"
HES,"Hess Corp",148.57,-0.55,-0.37%,31.90%,6195,13.3%,86.7%,0.15406110283159,"09:05 ET"
WAL,"Western Alliance Bancorp",43.74,-0.79,-1.77%,7.20%,6191,73.3%,26.7%,2.7430471584039,"08:58 ET"
WYNN,"Wynn Resorts Ltd",91.6,-1.03,-1.11%,19.45%,6160,56.0%,44.0%,1.2730627306273,"08:32 ET"
DKS,"Dick's Sporting Goods Inc",106.3,-2.28,-2.10%,15.87%,6112,57.0%,43.0%,1.3239543726236,2023-10-02
ACAD,"Acadia Pharmaceutica",21.57,0.1,+0.47%,44.12%,6089,4.7%,95.3%,0.049284852662416,"08:14 ET"
MMAT,"Meta Materials Inc",0.2247,0.0004,+0.18%,50.21%,6078,2.3%,97.7%,0.023576961940047,"09:09 ET"
MNST,"Monster Beverage Cp",52.5,-0.04,-0.08%,39.60%,6061,94.0%,6.0%,15.743093922652,"09:04 ET"
DHI,"D.R. Horton",106.26,0.08,+0.08%,34.86%,5984,59.5%,40.5%,1.4676288659794,"09:04 ET"
MAR,"Marriot Int Cl A",192.25,-1.5,-0.77%,35.24%,5975,42.7%,57.3%,0.74554484370435,"09:03 ET"
DUK,"Duke Energy Corp",84.51,-0.93,-1.09%,55.13%,5968,46.8%,53.2%,0.88027725267801,"09:08 ET"
FSLY,"Fastly Inc",18.56,-0.27,-1.43%,38.08%,5833,25.2%,74.8%,0.33631156930126,"09:02 ET"
KEY,Keycorp,10.32,-0.13,-1.24%,15.17%,5755,33.5%,66.5%,0.50378886856546,"09:09 ET"
MDB,"Mongodb Inc Cl A",348.47,-0.61,-0.17%,13.06%,5682,50.7%,49.3%,1.0263908701854,"09:07 ET"
XP,"XP Inc Cl A",22.9,-0.15,-0.65%,18.49%,5651,24.0%,76.0%,0.31510356062369,2023-10-02
CAG,"Conagra Brands Inc",26.63,-0.16,-0.60%,65.28%,5532,75.6%,24.4%,3.0977777777778,"09:08 ET"
WDAY,"Workday Inc",211.8,-1.86,-0.87%,13.46%,5517,42.5%,57.5%,0.73818525519849,"09:09 ET"
JMIA,"Jumia Technologies Ag ADR",2.83,-0.03,-1.00%,40.10%,5487,6.9%,93.1%,0.074618096357227,"09:06 ET"
NTR,"Nutrien Ltd",59.18,-0.72,-1.21%,35.54%,5474,88.4%,11.6%,7.6340694006309,"09:02 ET"
RH,"Rh Common Stock",262.01,-2.35,-0.89%,23.08%,5464,20.3%,79.7%,0.25407390406243,2023-10-02
MKC,"Mccormick & Company",70.7,-4.02,-5.38%,76.59%,5459,41.6%,58.4%,0.7118218877391,"09:08 ET"
PBI,"Pitney Bowes Inc",3.51,0.02,+0.57%,61.96%,5426,24.9%,75.1%,0.33153374233129,"09:01 ET"
FCEL,"Fuelcell Energy Inc",1.17,-0.03,-2.50%,60.37%,5418,29.9%,70.1%,0.42654028436019,"09:08 ET"
ANET,"Arista Networks Inc",187.55,-0.26,-0.14%,47.47%,5400,32.9%,67.1%,0.49130074565037,"09:06 ET"
ANF,"Abercrombie & Fitch Company",58,-0.31,-0.53%,16.31%,5392,70.7%,29.3%,2.4126582278481,"09:06 ET"
OKE,"Oneok Inc",61.51,-0.34,-0.55%,34.12%,5339,27.7%,72.3%,0.38316062176166,"09:05 ET"
FL,"Footlocker Inc",18.2,-0.12,-0.66%,28.18%,5328,48.9%,51.1%,0.95810363836825,"09:06 ET"
SGML,"Sigma Lithium Corp",30.15,-0.18,-0.59%,53.39%,5296,3.0%,97.0%,0.030951917461553,"09:00 ET"
CRDO,"Credo Technology Group Holding Ltd",15.6,-0.34,-2.13%,18.33%,5292,2.1%,97.9%,0.021424435437174,"08:55 ET"
SPOT,"Spotify Technology S.A.",156.5,-1.61,-1.02%,44.02%,5292,57.1%,42.9%,1.3292253521127,"09:06 ET"
VFC,"V.F. Corp",16.5,-0.09,-0.54%,50.81%,5279,35.4%,64.6%,0.54854796127897,"09:07 ET"
RAD,"Rite Aid Corp",0.441,-0.029,-6.17%,77.05%,5269,71.4%,28.6%,2.4940318302387,"09:09 ET"
CZR,"Caesars Entertainment Inc",46.45,-0.41,-0.87%,26.64%,5252,31.6%,68.4%,0.4617311438909,"08:51 ET"
LUMN,"Lumen Technologies Inc",1.37,-0.02,-1.44%,55.01%,5242,24.9%,75.1%,0.33113255459624,"09:08 ET"
ROST,"Ross Stores Inc",114.47,1.52,+1.35%,18.03%,5241,67.0%,33.0%,2.034742327736,2023-10-02
PNC,"PNC Bank",120.01,-0.01,-0.01%,29.01%,5238,48.0%,52.0%,0.92149669845928,"09:07 ET"
ENB,"Enbridge Inc",31.91,-0.08,-0.25%,53.56%,5176,67.5%,32.5%,2.0754604872252,"09:09 ET"
FFIE,"Faraday Future Intelligent Electric Inc",1.2,0.005,+0.42%,22.44%,5107,23.5%,76.5%,0.3068065506653,"09:09 ET"
NI,"NiSource Inc",23.18,0,0.00%,48.62%,5073,12.1%,87.9%,0.13769903565822,"09:01 ET"
BTI,"British American Tobacco Industries ADR",30.46,-0.23,-0.75%,45.54%,5066,30.3%,69.7%,0.43553414565033,"09:09 ET"
WEC,"Wisconsin Energy Corp",76.99,-0.04,-0.05%,46.85%,5061,95.3%,4.7%,20.444915254237,"09:00 ET"
GOEV,"Canoo Inc",0.4494,0.0031,+0.69%,26.92%,5002,21.9%,78.1%,0.27993858751279,"09:09 ET"
AMGN,"Amgen Inc",265.96,-0.35,-0.13%,46.26%,5001,41.2%,58.8%,0.70102040816327,"09:08 ET"
LEN,"Lennar Corp",110,-1.15,-1.03%,35.09%,4997,74.8%,25.2%,2.9721780604134,"08:59 ET"
TTWO,"Take-Two Interactive",139,-1.39,-0.99%,30.16%,4969,42.2%,57.8%,0.72955099199443,2023-10-02
EPD,"Enterprise Products Partners LP",27.12,-0.08,-0.29%,34.52%,4958,56.3%,43.7%,1.2890120036934,"09:05 ET"
FTNT,"Fortinet Inc",58.1,-0.53,-0.90%,49.59%,4924,73.1%,26.9%,2.7190332326284,"09:05 ET"
MOS,"Mosaic Company",34.75,-0.27,-0.77%,56.38%,4868,54.0%,46.0%,1.1722445336903,"08:51 ET"
ZTO,"Zto Express Cayman Inc ADR",24.14,-0.03,-0.12%,35.07%,4829,98.8%,1.2%,83.719298245614,2023-10-02
DOW,"Dow Inc",51.09,-0.21,-0.41%,36.08%,4826,42.2%,57.8%,0.72974910394265,"09:07 ET"
ZIM,"Zim Integrated Shipping Services Ltd",9.84,-0.08,-0.81%,8.05%,4812,39.0%,61.0%,0.63840653728294,"09:09 ET"
TECK,"Teck Resources Ltd",40.93,-0.67,-1.61%,36.78%,4810,67.1%,32.9%,2.0404551201011,"09:06 ET"
MPLX,"Mplx LP",35,-0.13,-0.37%,22.94%,4737,65.0%,35.0%,1.857056694813,"08:57 ET"
OSTK,"Overstock.com Inc",15.29,0.25,+1.66%,76.15%,4728,27.1%,72.9%,0.37162750217581,"09:08 ET"
BG,"Bunge Ltd",106.01,-0.68,-0.64%,35.06%,4703,15.9%,84.1%,0.18972931950417,"09:04 ET"
HELE,"Helen of Troy Ltd",117.32,-0.13,-0.11%,38.09%,4676,60.0%,40.0%,1.4991982896847,"08:24 ET"
XXII,"22nd Century Group Inc",0.875,-0.0052,-0.59%,20.58%,4664,95.5%,4.5%,21.315789473684,"09:07 ET"
ACRS,"Aclaris Therapts",6.55,0.06,+0.92%,100.00%,4640,11.3%,88.7%,0.12730806608358,"08:42 ET"
MANU,"Manchester United Ltd",19.5,0.09,+0.46%,32.03%,4628,38.2%,61.8%,0.61818181818182,"08:56 ET"
RRC,"Range Resources Corp",30.31,-0.13,-0.43%,32.89%,4614,11.4%,88.6%,0.12839325018342,"09:03 ET"
BLNK,"Blink Charging Company",3,-0.04,-1.32%,45.91%,4601,66.2%,33.8%,1.9550417469493,"09:08 ET"
NOW,"Servicenow Inc",549.5,-5.73,-1.03%,36.66%,4539,36.3%,63.7%,0.5700449671394,"08:51 ET"
EL,"Estee Lauder Companies",142.19,-1.21,-0.84%,72.08%,4518,61.9%,38.1%,1.6221706326175,"08:59 ET"
PCT,"Purecycle Technologies Inc",5.26,-0.03,-0.57%,39.71%,4513,10.8%,89.2%,0.12068537372734,"08:53 ET"
CMG,"Chipotle Mexican Grill",1867.13,35.3,+1.93%,56.63%,4509,54.7%,45.3%,1.2081292850147,2023-10-02
WW,"Weight Watchers International Inc",10.79,-0.15,-1.37%,35.66%,4447,35.6%,64.4%,0.55272346368715,"09:09 ET"
JBL,"Jabil Circuit",128.85,-0.02,-0.02%,14.48%,4446,66.7%,33.3%,2.0040540540541,"08:53 ET"
BMBL,"Bumble Inc",13.9,-0.09,-0.63%,21.81%,4442,86.9%,13.1%,6.6192109777015,"09:06 ET"
BKNG,"Booking Holdings Inc",3093.76,9.81,+0.32%,30.72%,4432,70.9%,29.1%,2.4383242823894,2023-10-02
SRPT,"Sarepta Therapeutics",118.59,-2.63,-2.17%,100.00%,4430,54.7%,45.3%,1.2061752988048,2023-10-02
ULTA,"Ulta Beauty Inc",402.95,3.5,+0.88%,25.94%,4374,52.6%,47.4%,1.1089681774349,2023-10-02
AEP,"American Electric Power Company",71.25,-0.59,-0.82%,72.25%,4357,65.1%,34.9%,1.8626806833114,"09:09 ET"
CROX,"Crocs Inc",87,-0.88,-1.00%,42.45%,4326,45.1%,54.9%,0.82224094355518,"09:09 ET"
TGTX,"Tg Therapeuticscmn",8.07,-0.09,-1.10%,19.69%,4323,34.4%,65.6%,0.52433004231312,"09:06 ET"
CSIQ,"Canadian Solar Inc",23.06,-0.19,-0.82%,29.57%,4309,11.2%,88.8%,0.12594721714136,"09:08 ET"
BEKE,"Ke Holdings Inc ADR",15.18,-0.32,-2.06%,41.05%,4288,34.0%,66.0%,0.51519434628975,"09:08 ET"
TMO,"Thermo Fisher Scientific Inc",495.79,-10.38,-2.05%,42.29%,4271,43.6%,56.4%,0.77367109634551,2023-10-02
NOK,"Nokia Corp ADR",3.71,-0.01,-0.27%,27.97%,4253,5.1%,94.9%,0.054288547347546,"09:09 ET"
WDC,"Western Digital Cp",45.47,-0.16,-0.35%,31.10%,4252,37.6%,62.4%,0.6015065913371,2023-10-02
CPB,"Campbell Soup Company",39.45,-0.05,-0.13%,51.09%,4250,71.7%,28.3%,2.5387177352206,"09:01 ET"
ADM,"Archer Daniels Midland",74.2,-1.22,-1.62%,36.32%,4225,29.4%,70.6%,0.41588471849866,2023-10-02
SAVE,"Spirit Airlines Inc",16.39,-0.02,-0.12%,100.00%,4224,7.8%,92.2%,0.08502440277421,"09:06 ET"
NTRA,"Natera Inc",43.68,-0.57,-1.29%,29.63%,4216,1.3%,98.7%,0.013217976447969,2023-10-02
LNTH,"Lantheus Holdings",74.15,6.5,+9.61%,53.75%,4195,85.7%,14.3%,5.9916666666667,"09:09 ET"
WKHS,"Workhorse Grp",0.389,-0.0034,-0.87%,52.71%,4166,3.5%,96.5%,0.036576262751928,"09:09 ET"
PGY,"Pagaya Technologies Ltd Cl A",1.47,-0.05,-3.29%,18.72%,4153,5.9%,94.1%,0.062691914022518,"09:09 ET"
TH,"Target Hospitality Corp",15.8,0.04,+0.25%,62.70%,4122,14.0%,86.0%,0.16342082980525,"09:01 ET"
HTZ,"Hertz Global Holdings Inc",11.98,0.29,+2.48%,55.09%,4122,44.3%,55.7%,0.79373368146214,"09:02 ET"
CELH,"Celsius Holdings Inc",172.3,-1.7,-0.98%,16.34%,4088,31.6%,68.4%,0.46261180679785,"09:06 ET"
HZNP,"Horizon Therapeutics",116.25,0.32,+0.28%,2.47%,4063,88.3%,11.7%,7.5717299578059,"08:56 ET"
NOVA,"Sunnova Energy International",9.55,-0.13,-1.34%,80.13%,4063,61.3%,38.7%,1.5813214739517,"09:09 ET"
JWN,Nordstrom,15,-0.11,-0.73%,10.31%,4053,24.8%,75.2%,0.32928829124303,"09:03 ET"
IMPP,"Imperial Petroleum Inc",1.64,0,0.00%,5.32%,4048,2.5%,97.5%,0.026108998732573,"09:07 ET"
ABR,"Arbor Realty Trust",14.34,-0.07,-0.49%,38.60%,4041,54.7%,45.3%,1.2057860262009,"09:08 ET"
MAXN,"Maxeon Solar Tech Ltd",10.51,-0.22,-2.07%,51.82%,4037,85.5%,14.5%,5.8890784982935,"09:09 ET"
MT,"Arcelormittal ADR",23.89,-0.79,-3.20%,14.07%,4023,92.6%,7.4%,12.5,"09:07 ET"
AYX,"Alteryx Inc",36,-0.83,-2.25%,44.43%,4004,54.9%,45.1%,1.2158273381295,"08:50 ET"
ALTO,"Alto Ingredients Inc",4.2,-0.22,-4.98%,60.38%,3999,3.2%,96.8%,0.03279958677686,2023-10-02
BCLI,"Brainstorm Cell",0.1931,-0.0066,-3.30%,0.00%,3982,93.6%,6.4%,14.677165354331,"09:00 ET"
AAOI,"Applied Optoelect",11.25,-0.02,-0.18%,7.47%,3963,13.1%,86.9%,0.15103107754865,"09:01 ET"
MPC,"Marathon Petroleum Corp",147.55,-2.47,-1.65%,38.47%,3946,52.0%,48.0%,1.081223628692,"09:08 ET"
DBRG,"Digitalbridge Group Inc",16.85,-0.73,-4.15%,31.32%,3939,8.9%,91.1%,0.097520200612984,2023-10-02
ACN,"Accenture Plc",306,-2.26,-0.73%,14.86%,3924,59.9%,40.1%,1.4945963127781,"09:03 ET"
SWN,"Southwestern Energy Company",6.14,0.02,+0.33%,28.08%,3921,57.9%,42.1%,1.3734866828087,"09:06 ET"
HON,"Honeywell International Inc",181,-1.61,-0.88%,46.61%,3910,48.6%,51.4%,0.9452736318408,"09:06 ET"
PHM,Pultegroup,72.6,-0.62,-0.85%,66.85%,3904,72.6%,27.4%,2.6485981308411,"08:51 ET"
NUE,"Nucor Corp",154.78,-1.57,-1.00%,30.58%,3859,55.5%,44.5%,1.2449098312973,2023-10-02
AUPH,"Aurinia Pharm Ord",7.31,-0.13,-1.75%,40.74%,3851,40.5%,59.5%,0.68092536010476,"09:04 ET"
DNN,"Denison Mines Corp",1.55,-0.03,-1.90%,68.16%,3810,13.5%,86.5%,0.15594660194175,"09:09 ET"
NVCR,"Novocure Ltd Ord Sh",15.59,-0.56,-3.47%,8.78%,3810,4.6%,95.4%,0.047854785478548,2023-10-02
AAP,"Advance Auto Parts Inc",54,0.06,+0.11%,41.15%,3808,44.7%,55.3%,0.80988593155894,"08:58 ET"
GNRC,"Generac Holdings Inc",105,-1.1,-1.04%,37.20%,3730,44.4%,55.6%,0.79845708775313,"09:09 ET"
MASI,"Masimo Corp",87.71,0.03,+0.03%,79.08%,3652,91.5%,8.5%,10.818770226537,2023-10-02
FE,"Firstenergy Corp",32.6,0,0.00%,71.76%,3645,73.6%,26.4%,2.792924037461,"08:51 ET"
LAZR,"Luminar Technologies Inc",4.32,-0.15,-3.36%,22.40%,3641,45.3%,54.7%,0.82689412945309,"09:09 ET"
CEG,"Constellation Energy Corp",104.73,0,0.00%,37.28%,3641,69.7%,30.3%,2.3039927404719,"08:51 ET"
